s,count
155,2
156,1
157,1
158,1
159,3
160,1
161,1
162,1
163,4
164,2
165,2
166,2
167,5
168,2
169,2
170,1
171,9
172,4
173,6
174,5
175,71
176,66
177,36
178,18
179,41
180,5
181,12
182,9
183,9
184,1
185,8
186,6
187,8
188,1
189,7
190,4
191,9
192,4
193,4
194,2
195,6
196,4
197,27
198,17
199,7
200,5
201,8
202,9
203,14
204,8
205,9
206,6
207,10
208,5
209,21
210,12
211,21
212,5
213,7
214,10
215,13
216,14
217,3
218,4
219,29
220,13
221,3
222,11
223,26
224,12
225,6
226,8
227,61
228,42
229,16
230,11
231,21
232,5
233,4
234,11
235,37
236,20
237,11
238,11
239,28
240,9
241,6
242,9
243,39
244,25
245,14
246,5
247,38
248,96
249,64
250,37
251,30
252,99
253,98
254,77
255,43
256,124
257,83
258,66
259,116
260,140
261,97
262,77
263,100
264,194
265,176
266,101
267,88
268,145
269,35
270,62
271,68
272,67
273,109
274,90
275,55
276,89
277,63
278,54
279,49
280,49
281,53
282,56
283,67
284,80
285,66
286,60
287,48
288,41
289,41
290,43
291,43
292,52
293,44
294,51
295,48
296,104
297,104
298,94
299,55
300,54
301,25
302,50
303,46
304,78
305,60
306,54
307,36
308,49
309,80
310,90
311,66
312,69
313,67
314,35
315,36
316,45
317,45
318,40
319,40
320,40
321,33
322,50
323,36
324,52
325,34
326,41
327,28
328,28
329,27
330,39
331,41
332,28
333,24
334,57
335,46
336,46
337,41
338,32
339,38
340,28
341,30
342,46
343,61
344,71
345,57
346,44
347,42
348,37
349,39
350,43
351,35
352,51
353,72
354,53
355,39
356,35
357,51
358,55
359,35
360,37
361,38
362,30
363,15
364,38
365,59
366,20
367,33
368,30
369,44
370,44
371,54
372,55
373,48
374,40
375,26
376,37
377,39
378,30
379,32
380,28
381,25
382,33
383,35
384,39
385,24
386,18
387,25
388,37
389,27
390,24
391,30
392,27
393,25
394,24
395,31
396,48
397,40
398,41
399,49
400,52
401,43
402,25
403,27
404,35
405,36
406,31
407,31
408,41
409,30
410,27
411,15
412,21
413,19
414,16
415,20
416,24
417,15
418,17
419,16
420,19
421,18
422,15
423,14
424,15
425,23
426,23
427,23
428,23
429,28
430,39
431,36
432,42
433,44
434,36
435,32
436,35
437,41
438,42
439,32
440,36
441,48
442,41
443,29
444,28
445,31
446,30
447,31
448,36
449,34
450,24
451,25
452,39
453,33
454,26
455,35
456,28
457,26
458,24
459,24
460,29
461,29
462,23
463,32
464,32
465,34
466,25
467,19
468,15
469,22
470,19
471,26
472,28
473,32
474,23
475,28
476,25
477,27
478,23
479,22
480,24
481,30
482,22
483,27
484,22
485,26
486,14
487,22
488,13
489,17
490,19
491,22
492,24
493,20
494,16
495,26
496,25
497,19
498,20
499,17
500,15
501,9
502,10
503,16
504,22
505,19
506,17
507,21
508,22
509,17
510,15
511,21
512,22
513,21
514,14
515,6
516,14
517,11
518,12
519,14
520,11
521,9
522,4
523,11
524,8
525,7
526,9
527,12
528,12
529,19
530,16
531,10
532,10
533,10
534,6
535,6
536,7
537,17
538,10
539,9
540,18
541,16
542,19
543,140
544,143
545,83
546,47
547,137
548,59
549,56
550,29
551,51
552,101
553,76
554,49
555,37
556,36
557,30
558,22
559,18
560,38
561,44
562,35
563,14
564,21
565,26
566,18
567,20
568,19
569,15
570,13
571,19
572,20
573,17
574,10
575,19
576,16
577,23
578,16
579,18
580,12
581,15
582,20
583,20
584,20
585,19
586,17
587,15
588,25
589,29
590,30
591,11
592,17
593,21
594,18
595,19
596,17
597,11
598,24
599,16
600,11
601,20
602,11
603,11
604,16
605,17
606,18
607,13
608,11
609,16
610,20
611,16
612,14
613,17
614,14
615,17
616,16
617,18
618,12
619,15
620,10
621,10
622,3
623,30
624,25
625,11
626,18
627,19
628,28
629,25
630,13
631,34
632,35
633,23
634,26
635,23
636,24
637,23
638,23
639,21
640,19
641,16
642,10
643,23
644,22
645,18
646,17
647,39
648,13
649,11
650,13
651,23
652,18
653,18
654,22
655,16
656,7
657,12
658,23
659,14
660,14
661,7
662,19
663,20
664,17
665,16
666,37
667,13
668,13
669,11
670,34
671,16
672,8
673,10
674,27
675,26
676,16
677,10
678,20
679,14
680,13
681,14
682,18
683,19
684,20
685,15
686,21
687,16
688,44
689,45
690,36
691,19
692,40
693,29
694,33
695,42
696,43
697,42
698,33
699,25
700,25
701,32
702,39
703,34
704,25
705,20
706,27
707,28
708,31
709,28
710,32
711,34
712,18
713,28
714,42
715,32
716,26
717,23
718,25
719,38
720,32
721,26
722,43
723,38
724,28
725,28
726,29
727,28
728,27
729,21
730,34
731,29
732,16
733,16
734,34
735,43
736,31
737,16
738,29
739,32
740,26
741,18
742,34
743,35
744,35
745,33
746,42
747,46
748,38
749,31
750,39
751,34
752,26
753,36
754,38
755,43
756,23
757,28
758,36
759,37
760,23
761,20
762,30
763,25
764,23
765,22
766,16
767,23
768,25
769,29
770,32
771,22
772,10
773,13
774,22
775,25
776,32
777,18
778,28
779,19
780,21
781,20
782,21
783,13
784,26
785,21
786,29
787,23
788,17
789,27
790,31
791,19
792,16
793,22
794,23
795,23
796,14
797,16
798,20
799,19
800,32
801,18
802,23
803,17
804,21
805,19
806,16
807,11
808,19
809,14
810,26
811,25
812,18
813,24
814,34
815,27
816,22
817,25
818,22
819,24
820,18
821,17
822,33
823,24
824,17
825,22
826,19
827,24
828,16
829,21
830,38
831,24
832,12
833,16
834,23
835,19
836,15
837,15
838,18
839,18
840,18
841,18
842,20
843,16
844,18
845,27
846,29
847,29
848,30
849,24
850,17
851,25
852,18
853,18
854,19
855,19
856,19
857,17
858,14
859,19
860,21
861,21
862,20
863,26
864,21
865,23
866,23
867,32
868,25
869,25
870,21
871,28
872,30
873,25
874,24
875,32
876,28
877,26
878,32
879,44
880,33
881,31
882,22
883,41
884,35
885,33
886,34
887,24
888,29
889,24
890,18
891,34
892,34
893,33
894,27
895,21
896,28
897,21
898,24
899,23
900,30
901,25
902,17
903,20
904,17
905,19
906,14
907,16
908,22
909,19
910,22
911,15
912,19
913,13
914,15
915,24
916,25
917,23
918,22
919,29
920,34
921,24
922,21
923,20
924,22
925,15
926,19
927,24
928,28
929,13
930,18
931,15
932,17
933,14
934,14
935,24
936,15
937,13
938,16
939,20
940,20
941,18
942,14
943,21
944,16
945,12
946,23
947,21
948,21
949,25
950,17
951,21
952,21
953,20
954,15
955,13
956,15
957,19
958,21
959,23
960,21
961,14
962,13
963,17
964,13
965,10
966,10
967,11
968,11
969,12
970,12
971,16
972,19
973,16
974,10
975,17
976,14
977,20
978,21
979,23
980,19
981,19
982,20
983,15
984,16
985,15
986,16
987,19
988,21
989,16
990,16
991,11
992,11
993,18
994,17
995,13
996,12
997,16
998,24
999,15
1000,21
1001,19
1002,15
1003,12
1004,14
1005,15
1006,15
1007,16
1008,18
1009,18
1010,20
1011,17
1012,16
1013,16
1014,16
1015,18
1016,28
1017,18
1018,14
1019,18
1020,27
1021,19
1022,16
1023,18
1024,17
1025,19
1026,19
1027,25
1028,24
1029,18
1030,16
1031,23
1032,23
1033,16
1034,14
1035,19
1036,22
1037,18
1038,20
1039,21
1040,21
1041,20
1042,18
1043,21
1044,26
1045,20
1046,17
1047,21
1048,13
1049,12
1050,10
1051,14
1052,24
1053,25
1054,22
1055,20
1056,17
1057,19
1058,21
1059,23
1060,23
1061,28
1062,21
1063,17
1064,11
1065,19
1066,14
1067,14
1068,18
1069,20
1070,21
1071,14
1072,17
1073,20
1074,15
1075,16
1076,16
1077,25
1078,25
1079,16
1080,20
1081,21
1082,21
1083,22
1084,16
1085,16
1086,14
1087,10
1088,14
1089,18
1090,13
1091,15
1092,13
1093,11
1094,17
1095,13
1096,10
1097,15
1098,15
1099,18
1100,14
1101,12
1102,17
1103,21
1104,20
1105,22
1106,19
1107,15
1108,15
1109,21
1110,18
1111,18
1112,20
1113,19
1114,14
1115,19
1116,23
1117,16
1118,21
1119,19
1120,19
1121,13
1122,17
1123,15
1124,19
1125,19
1126,19
1127,15
1128,17
1129,19
1130,26
1131,26
1132,23
1133,23
1134,10
1135,15
1136,20
1137,32
1138,16
1139,19
1140,16
1141,15
1142,16
1143,13
1144,16
1145,20
1146,16
1147,19
1148,17
1149,20
1150,15
1151,17
1152,17
1153,18
1154,13
1155,13
1156,12
1157,12
1158,16
1159,14
1160,13
1161,14
1162,17
1163,7
1164,7
1165,10
