k,p,seed,sample_index,outcome,onset_step,direction,steps_simulated
5,0.1,20260919,0,certified,2670,"+x,-y",4854
5,0.1,20260919,1,certified,18105,"-x,-y",20334
5,0.1,20260919,2,certified,221,"-x,-y",2405
5,0.1,20260919,3,certified,2224,"-x,+y",4408
5,0.1,20260919,4,certified,3019,"-x,-y",5203
5,0.1,20260919,5,certified,2776,"-x,+y",4960
5,0.1,20260919,6,certified,9977,"-x,-y",12336
5,0.1,20260919,7,certified,9978,"+x,-y",12337
5,0.1,20260919,8,certified,228,"+x,-y",2412
5,0.1,20260919,9,certified,265,"-x,-y",2449
5,0.1,20260919,10,certified,4306,"-x,-y",6490
5,0.1,20260919,11,certified,19376,"+x,-y",21560
5,0.1,20260919,12,certified,33097,"-x,-y",35281
5,0.1,20260919,13,certified,9935,"-x,-y",12119
5,0.1,20260919,14,certified,437,"+x,-y",2621
5,0.1,20260919,15,certified,1340,"+x,-y",3524
5,0.1,20260919,16,certified,395,"+x,+y",2579
5,0.1,20260919,17,certified,2460,"+x,-y",4644
5,0.1,20260919,18,certified,1498,"+x,+y",3682
5,0.1,20260919,19,certified,896,"+x,+y",3080
5,0.1,20260919,20,certified,1617,"+x,-y",3801
5,0.1,20260919,21,certified,1206,"+x,-y",3390
5,0.1,20260919,22,certified,8430,"-x,+y",10614
5,0.1,20260919,23,certified,2776,"-x,+y",4960
5,0.1,20260919,24,certified,262,"+x,-y",2446
5,0.1,20260919,25,certified,1030,"-x,+y",3214
5,0.1,20260919,26,certified,11385,"+x,+y",14160
5,0.1,20260919,27,certified,46181,"+x,+y",50355
5,0.1,20260919,28,certified,602,"-x,+y",2786
5,0.1,20260919,29,certified,602,"-x,+y",2786
5,0.1,20260919,30,certified,1206,"+x,-y",3390
5,0.1,20260919,31,certified,4779,"-x,+y",6963
5,0.1,20260919,32,certified,5758,"+x,-y",7942
5,0.1,20260919,33,certified,1239,"+x,+y",3423
5,0.1,20260919,34,certified,46181,"+x,+y",50355
5,0.1,20260919,35,certified,2790,"-x,-y",4974
5,0.1,20260919,36,certified,1728,"+x,-y",3912
5,0.1,20260919,37,certified,333,"+x,+y",2517
5,0.1,20260919,38,certified,347,"+x,+y",2531
5,0.1,20260919,39,certified,8565,"+x,+y",10749
5,0.1,20260919,40,certified,2770,"+x,-y",4954
5,0.1,20260919,41,certified,2975,"-x,-y",5159
5,0.1,20260919,42,certified,1717,"+x,+y",3901
5,0.1,20260919,43,certified,331,"+x,-y",2515
5,0.1,20260919,44,certified,3510,"-x,-y",5694
5,0.1,20260919,45,certified,2727,"+x,+y",4911
5,0.1,20260919,46,certified,350,"-x,+y",2534
5,0.1,20260919,47,certified,19375,"-x,-y",21559
5,0.1,20260919,48,certified,481,"-x,+y",2665
5,0.1,20260919,49,certified,481,"-x,+y",2665
5,0.1,20260919,50,certified,859,"+x,+y",3043
5,0.1,20260919,51,certified,1192,"+x,+y",3376
5,0.1,20260919,52,certified,351,"-x,-y",2535
5,0.1,20260919,53,certified,2300,"-x,+y",4484
5,0.1,20260919,54,certified,5173,"+x,+y",7357
5,0.1,20260919,55,certified,1857,"-x,+y",4041
5,0.1,20260919,56,certified,10376,"+x,+y",12560
5,0.1,20260919,57,certified,6731,"+x,+y",8915
5,0.1,20260919,58,certified,9978,"+x,-y",12337
5,0.1,20260919,59,certified,3776,"+x,-y",5960
5,0.1,20260919,60,certified,508,"-x,-y",2692
5,0.1,20260919,61,certified,3028,"-x,-y",5212
5,0.1,20260919,62,certified,2619,"+x,+y",4803
5,0.1,20260919,63,certified,1827,"-x,+y",4011
5,0.1,20260919,64,certified,911,"+x,+y",3095
5,0.1,20260919,65,certified,9333,"+x,-y",11517
5,0.1,20260919,66,certified,372,"-x,+y",2556
5,0.1,20260919,67,certified,2447,"+x,-y",4631
5,0.1,20260919,68,certified,38164,"-x,+y",40515
5,0.1,20260919,69,certified,3058,"-x,+y",5242
5,0.1,20260919,70,certified,29073,"+x,+y",31257
5,0.1,20260919,71,certified,548,"+x,-y",2732
5,0.1,20260919,72,certified,12184,"-x,-y",14369
5,0.1,20260919,73,certified,7560,"-x,-y",9744
5,0.1,20260919,74,certified,9977,"-x,-y",12336
5,0.1,20260919,75,certified,5758,"+x,-y",7942
5,0.1,20260919,76,certified,593,"+x,+y",2777
5,0.1,20260919,77,certified,3510,"-x,-y",5694
5,0.1,20260919,78,certified,698,"-x,-y",2882
5,0.1,20260919,79,certified,2635,"+x,-y",4819
5,0.1,20260919,80,certified,270,"+x,-y",2454
5,0.1,20260919,81,certified,11569,"-x,-y",13753
5,0.1,20260919,82,certified,751,"+x,+y",2935
5,0.1,20260919,83,certified,2455,"+x,+y",4639
5,0.1,20260919,84,certified,2801,"+x,+y",4985
5,0.1,20260919,85,certified,1301,"+x,+y",3485
5,0.1,20260919,86,certified,671,"-x,-y",2855
5,0.1,20260919,87,certified,334,"+x,-y",2518
5,0.1,20260919,88,certified,12039,"+x,-y",14403
5,0.1,20260919,89,certified,4753,"+x,+y",6937
5,0.1,20260919,90,certified,1968,"+x,-y",4152
5,0.1,20260919,91,certified,3610,"+x,-y",5794
5,0.1,20260919,92,certified,1990,"+x,-y",4174
5,0.1,20260919,93,certified,2848,"-x,+y",5032
5,0.1,20260919,94,certified,3250,"-x,+y",5434
5,0.1,20260919,95,certified,9978,"+x,-y",12337
5,0.1,20260919,96,certified,2471,"+x,-y",4655
5,0.1,20260919,97,certified,1306,"+x,+y",3490
5,0.1,20260919,98,certified,2776,"-x,+y",4960
5,0.1,20260919,99,certified,4483,"+x,-y",6667
5,0.1,20260919,100,certified,3023,"-x,-y",5207
5,0.1,20260919,101,certified,433,"-x,-y",2617
5,0.1,20260919,102,certified,4114,"+x,-y",6298
5,0.1,20260919,103,certified,11479,"+x,+y",13663
5,0.1,20260919,104,certified,34469,"-x,-y",36653
5,0.1,20260919,105,certified,197,"+x,+y",2381
5,0.1,20260919,106,certified,358,"+x,-y",2542
5,0.1,20260919,107,certified,2457,"+x,+y",4641
5,0.1,20260919,108,certified,589,"-x,-y",2773
5,0.1,20260919,109,certified,8318,"-x,-y",10502
5,0.1,20260919,110,certified,1166,"+x,+y",3350
5,0.1,20260919,111,certified,9977,"-x,-y",12336
5,0.1,20260919,112,certified,9978,"+x,-y",12337
5,0.1,20260919,113,certified,19258,"+x,+y",21442
5,0.1,20260919,114,certified,19375,"-x,-y",21559
5,0.1,20260919,115,certified,897,"-x,+y",3081
5,0.1,20260919,116,certified,7358,"-x,-y",9542
5,0.1,20260919,117,certified,340,"+x,-y",2524
5,0.1,20260919,118,certified,4883,"-x,-y",7067
5,0.1,20260919,119,certified,262,"+x,-y",2446
5,0.1,20260919,120,certified,5759,"+x,+y",7943
5,0.1,20260919,121,certified,991,"-x,-y",3175
5,0.1,20260919,122,certified,528,"+x,+y",2712
5,0.1,20260919,123,certified,314,"+x,-y",2498
5,0.1,20260919,124,certified,4008,"-x,-y",6192
5,0.1,20260919,125,certified,266,"-x,+y",2450
5,0.1,20260919,126,certified,354,"+x,-y",2538
5,0.1,20260919,127,certified,197,"+x,+y",2381
5,0.1,20260919,128,certified,332,"+x,-y",2516
5,0.1,20260919,129,certified,7161,"+x,-y",9345
5,0.1,20260919,130,certified,212,"+x,-y",2396
5,0.1,20260919,131,certified,443,"-x,-y",2627
5,0.1,20260919,132,certified,1139,"+x,-y",3323
5,0.1,20260919,133,certified,1687,"+x,+y",3871
5,0.1,20260919,134,certified,1764,"+x,-y",3948
